[2022-01-25 20:41:28.338] <gnugo>   (out) : 
[2022-01-25 20:41:36.880] <gnugo>    (in) : play B C2
[2022-01-25 20:41:36.886] <gnugo>   (out) : = 
[2022-01-25 20:41:36.887] <gnugo>   (out) : 
[2022-01-25 20:41:36.890] <gnugo>    (in) : genmove W
[2022-01-25 20:41:37.082] <gnugo>   (out) : = B2
[2022-01-25 20:41:37.082] <gnugo>   (out) : 
[2022-01-25 20:41:38.649] <gnugo>    (in) : play B C6
[2022-01-25 20:41:38.657] <gnugo>   (out) : = 
[2022-01-25 20:41:38.657] <gnugo>   (out) : 
[2022-01-25 20:41:38.662] <gnugo>    (in) : genmove W
[2022-01-25 20:41:38.810] <gnugo>   (out) : = B6
[2022-01-25 20:41:38.810] <gnugo>   (out) : 
[2022-01-25 20:41:51.480] <gnugo>    (in) : play B E3
[2022-01-25 20:41:51.486] <gnugo>   (out) : = 
[2022-01-25 20:41:51.487] <gnugo>   (out) : 
[2022-01-25 20:41:51.489] <gnugo>    (in) : genmove W
[2022-01-25 20:41:51.547] <gnugo>   (out) : = D6
[2022-01-25 20:41:51.548] <gnugo>   (out) : 
[2022-01-25 20:42:00.424] <gnugo>    (in) : undo
[2022-01-25 20:42:00.424] <gnugo>    (in) : undo
[2022-01-25 20:42:00.425] <gnugo>    (in) : play B D7
[2022-01-25 20:42:00.433] <gnugo>   (out) : = 
[2022-01-25 20:42:00.433] <gnugo>   (out) : 
[2022-01-25 20:42:00.433] <gnugo>   (out) : = 
[2022-01-25 20:42:00.433] <gnugo>   (out) : 
[2022-01-25 20:42:00.434] <gnugo>   (out) : = 
[2022-01-25 20:42:00.434] <gnugo>   (out) : 
[2022-01-25 20:42:00.438] <gnugo>    (in) : genmove W
[2022-01-25 20:42:00.519] <gnugo>   (out) : = D3
[2022-01-25 20:42:00.519] <gnugo>   (out) : 
[2022-01-25 20:42:05.112] <gnugo>    (in) : play B D2
[2022-01-25 20:42:05.120] <gnugo>   (out) : = 
[2022-01-25 20:42:05.121] <gnugo>   (out) : 
[2022-01-25 20:42:05.124] <gnugo>    (in) : genmove W
[2022-01-25 20:42:05.282] <gnugo>   (out) : = E3
[2022-01-25 20:42:05.282] <gnugo>   (out) : 
[2022-01-25 20:42:14.848] <gnugo>    (in) : play B E2
[2022-01-25 20:42:14.860] <gnugo>   (out) : = 
[2022-01-25 20:42:14.860] <gnugo>   (out) : 
[2022-01-25 20:42:14.865] <gnugo>    (in) : genmove W
[2022-01-25 20:42:15.252] <gnugo>   (out) : = F3
[2022-01-25 20:42:15.253] <gnugo>   (out) : 
[2022-01-25 20:42:39.915] <gnugo>    (in) : play B F2
[2022-01-25 20:42:39.924] <gnugo>   (out) : = 
[2022-01-25 20:42:39.924] <gnugo>   (out) : 
[2022-01-25 20:42:39.929] <gnugo>    (in) : genmove W
[2022-01-25 20:42:40.181] <gnugo>   (out) : = E5
[2022-01-25 20:42:40.181] <gnugo>   (out) : 
[2022-01-25 20:42:51.178] <gnugo>    (in) : play B F4
[2022-01-25 20:42:51.189] <gnugo>   (out) : = 
[2022-01-25 20:42:51.189] <gnugo>   (out) : 
[2022-01-25 20:42:51.194] <gnugo>    (in) : genmove W
[2022-01-25 20:42:51.440] <gnugo>   (out) : = E4
[2022-01-25 20:42:51.440] <gnugo>   (out) : 
[2022-01-25 20:42:54.184] <gnugo>    (in) : play B D6
[2022-01-25 20:42:54.192] <gnugo>   (out) : = 
[2022-01-25 20:42:54.193] <gnugo>   (out) : 
[2022-01-25 20:42:54.197] <gnugo>    (in) : genmove W
[2022-01-25 20:42:54.375] <gnugo>   (out) : = E6
[2022-01-25 20:42:54.375] <gnugo>   (out) : 
[2022-01-25 20:42:56.978] <gnugo>    (in) : play B G3
[2022-01-25 20:42:56.986] <gnugo>   (out) : = 
[2022-01-25 20:42:56.986] <gnugo>   (out) : 
[2022-01-25 20:42:56.991] <gnugo>    (in) : genmove W
[2022-01-25 20:42:57.073] <gnugo>   (out) : = F5
[2022-01-25 20:42:57.074] <gnugo>   (out) : 
[2022-01-25 20:43:04.280] <gnugo>    (in) : play B G4
[2022-01-25 20:43:04.290] <gnugo>   (out) : = 
[2022-01-25 20:43:04.290] <gnugo>   (out) : 
[2022-01-25 20:43:04.295] <gnugo>    (in) : genmove W
[2022-01-25 20:43:04.362] <gnugo>   (out) : = G5
[2022-01-25 20:43:04.362] <gnugo>   (out) : 
[2022-01-25 20:43:05.814] <gnugo>    (in) : play B G2
[2022-01-25 20:43:05.825] <gnugo>   (out) : = 
[2022-01-25 20:43:05.825] <gnugo>   (out) : 
[2022-01-25 20:43:05.831] <gnugo>    (in) : genmove W
[2022-01-25 20:43:05.872] <gnugo>   (out) : = C1
[2022-01-25 20:43:05.872] <gnugo>   (out) : 
[2022-01-25 20:43:08.047] <gnugo>    (in) : play B E7
[2022-01-25 20:43:08.054] <gnugo>   (out) : = 
